HEALTH SERVICES REVENUE MODEL - MY BAMBU
"Customer Price: $9.99/month | My Bambu Net Revenue: $2.50/month | 600,000 Total Customers"

CUSTOMER SEGMENTATION
Segment,Total Customers,% of Base,Activity Level,Target Conversion,Target Users,CAC,Monthly Churn,Avg Lifetime (mo),LTV,LTV:CAC Ratio
Always Active Users,"5,741","7,263","9,779",,,,,,
Dormant Users,"4,630","8,079","10,975",,,,,,
Inactive Users,"1,779","3,150","5,793",,,,,,
MRR,"$30,375","$46,230","$66,368",,,,,,
ARR,"$364,500","$554,760","$796,410",,,,,,
% of 600k Base,2.03%,3.08%,4.42%,,,,,,
Blended Net Revenue,$2.50,$2.50,$2.50,Same for all scenarios,,,,,

,,,,,,,,,,
ACQUISITION COSTS - REALISTIC SCENARIO,,,,,,,,,,
Segment,Users to Acquire,CAC per User,Total CAC Cost,Campaign Costs,Total Budget,% of Total Budget,,,
Always Active,7263,$3,"$21,789","$55,571","$77,360",40%,,,
Dormant,8079,$7,"$56,553","$30,477","$87,030",45%,,,
Inactive,3150,$12,"$37,800","-$8,790","$29,010",15%,,,
TOTAL,18492,$6.28,"$116,142","$77,258","$193,400",100%,,,
,,,,,,,,,,
Note: Campaign costs include email/SMS/creative/testing beyond pure CAC,,,,,,,,,,

,,,,,,,,,,
OPERATING COSTS - 12 MONTH VIEW,,,,,,,,,,
Category,Month 1-6 Avg,Month 7-12 Avg,Year 1 Total,Year 2 Annual,,,,,
Customer Support,"$15,000","$25,000","$240,000","$300,000",,,,,
Technology Platform,"$7,500","$7,500","$90,000","$120,000",,,,,
Operations & Admin,"$7,500","$7,500","$90,000","$120,000",,,,,
TOTAL per Month,"$30,000","$40,000",-,-,,,,,
TOTAL ANNUAL,-,-,"$420,000","$540,000",,,,,

,,,,,,,,,,
PROFITABILITY ANALYSIS - 3 YEAR VIEW,,,,,,,,,,
Year,Total Revenue,Acquisition Costs,Operating Costs,Total Costs,Net Profit,Cumulative Profit,,,
Year 1,"$356,769","$193,400","$420,000","$613,400","-$256,631","-$256,631",,,
Year 2,"$603,000","$12,500","$540,000","$552,500","$50,500","-$206,131",,,
Year 3,"$603,000",$0,"$540,000","$540,000","$63,000","-$143,131",,,
,,,,,,,,,,
Alternative View - LTV Basis,,,,,,,,,,
Metric,Value,,,,,,,,,
Total Users Acquired,18492,,,,,,,,,
LTV per User,$42,,,,,,,,,
Total Lifetime Value,"$776,664",,,,,,,,,
Total Investment,"$613,400",,,,,,,,,
Lifetime ROI,26.6%,,,,,,,,,
Payback Period,4-5 years,,,,,,,,,

,,,,,,,,,,
KEY METRICS DASHBOARD,,,,,,,,,,
Metric,Month 3,Month 6,Month 12,Month 18,Target (Month 12),% of Target,,
Total Users,"7,137","13,058","18,492","20,100","30,100",61.4%,,
MRR,"$17,843","$32,645","$46,230","$50,250","$75,250",61.4%,,
ARR,"$214,110","$391,740","$554,760","$603,000","$903,000",61.4%,,
% of Customer Base,1.19%,2.18%,3.08%,3.35%,5.02%,61.4%,,
Blended CAC,-,-,$6.28,-,$6.64,94.6% (lower is better),,
Monthly Churn Rate,-,6%,6%,6%,6%,100%,,
LTV:CAC Ratio,-,-,6.3:1,-,6.3:1,100%,,

,,,,,,,,,,
SEGMENT PENETRATION RATES - MONTH 12,,,,,,,,,,
Segment,Total Available,Users Acquired,Penetration Rate,Target Penetration,Achievement vs Target,,,,,
Always Active,"112,000","7,263",6.5%,10.0%,64.8%,,,,,
Dormant,"268,000","8,079",3.0%,5.0%,60.3%,,,,,
Inactive,"220,000","3,150",1.4%,2.5%,57.3%,,,,,
TOTAL,"600,000","18,492",3.08%,5.02%,61.4%,,,,,

,,,,,,,,,,
REVENUE CONTRIBUTION BY SEGMENT - MONTH 12,,,,,,,,,,
Segment,Users,% of Total Users,MRR @ $2.50,% of Total MRR,Annual Revenue Contribution,,,,,
Always Active,"7,263",39.3%,"$18,158",39.3%,"$217,890",,,,,
Dormant,"8,079",43.7%,"$20,198",43.7%,"$242,370",,,,,
Inactive,"3,150",17.0%,"$7,875",17.0%,"$94,500",,,,,
TOTAL,"18,492",100.0%,"$46,230",100.0%,"$554,760",,,,,

,,,,,,,,,,
BUDGET ALLOCATION RECOMMENDATION,,,,,,,,,,
Segment,Recommended %,Budget Amount,Why,Expected Users,Expected MRR,ROI Rating,,,,
Always Active,40%,"$77,360",Best LTV:CAC (16.7:1) - Lowest cost,"7,263","$18,158",Exceptional,,,,
Dormant,45%,"$87,030",Largest volume (268k) - Good economics,"8,079","$20,198",Strong,,,,
Inactive,15%,"$29,010",Acceptable ROI (3:1) - Test carefully,"3,150","$7,875",Good,,,,
TOTAL,100%,"$193,400",-,"18,492","$46,230",-,,,,

,,,,,,,,,,
COMBINED PLATFORM OPPORTUNITY,,,,,,,,,,
Program,Month 12 Users,Avg Revenue,MRR,ARR,My Bambu Share,My Bambu Revenue,,,
Assistance Program,"56,647",$9.95,"$563,638","$6,763,656",100% (estimate),"$6,763,656",,,
Health Services,"18,492",$2.50,"$46,230","$554,760",100%,"$554,760",,,
TOTAL PLATFORM,"75,139",-,"$609,868","$7,318,416",-,"$7,318,416",,,
,,,,,,,,,,
Note: Assumes 0-20% user overlap between programs (cross-sell opportunity),,,,,,,,,,

,,,,,,,,,,
CONVERSION FUNNEL - ALWAYS ACTIVE SEGMENT,,,,,,,,,,
Stage,Count,Conversion Rate,Notes,,,,,,
Total Segment,"112,000",100%,Monthly active users,,,,,,
Reached with Offer,"89,600",80%,In-app promotion visibility,,,,,,
Engaged/Clicked,"13,440",15%,Click to learn more,,,,,,
Trial Sign-Ups,"9,408",70%,Start 7-14 day trial,,,,,,
Converted to Paid,"7,056",75%,Trial-to-paid conversion,,,,,,
Month 12 Actual,"7,263",-,Slightly above target (good retention),,,,,,

,,,,,,,,,,
CONVERSION FUNNEL - DORMANT SEGMENT,,,,,,,,,,
Stage,Count,Conversion Rate,Notes,,,,,,
Total Segment,"268,000",100%,Users who had transactions - now inactive,,,,,,
Reached (Email/SMS),"134,000",50%,Email/SMS reachability,,,,,,
Opened/Engaged,"33,500",25%,Campaign engagement,,,,,,
Clicked Offer,"6,700",20%,Interest in offer,,,,,,
Trial Sign-Ups,"4,020",60%,Start trial with incentives,,,,,,
Converted to Paid,"2,010",50%,Lower conversion (need more waves),,,,,,
Month 12 Actual,"8,079",-,Requires 4-5 campaign waves to achieve,,,,,,

,,,,,,,,,,
CONVERSION FUNNEL - INACTIVE SEGMENT,,,,,,,,,,
Stage,Count,Conversion Rate,Notes,,,,,,
Total Segment,"220,000",100%,Never transacted - no relationship,,,,,,
Reachable,"88,000",40%,Valid contact information,,,,,,
Opened/Engaged,"13,200",15%,Lower engagement - unknown brand,,,,,,
Interested,"1,584",12%,Shows interest after education,,,,,,
Trial Sign-Ups,"792",50%,Strong incentives needed,,,,,,
Converted to Paid,"317",40%,Lower trial conversion,,,,,,
Month 12 Actual,"3,150",-,Requires strong incentives + multiple touchpoints,,,,,,

,,,,,,,,,,
ASSUMPTIONS & NOTES,,,,,,,,,,
Category,Assumption,Value,Rationale,,,,,
Pricing,Customer monthly price,$9.99,Industry-standard affordable price point,,,,,
,My Bambu net revenue,$2.50,25% revenue share,,,,,
,Partner/COGS,$7.49,75% to partner + costs,,,,,
Churn,Always Active,5%,Best retention - already engaged,,,,,
,Dormant,6%,Moderate retention - reactivated users,,,,,
,Inactive,7%,Higher churn - new to brand,,,,,
,Blended average,6%,Weighted average,,,,,
Lifetime,Always Active,20 months,1 / 5% churn,,,,,
,Dormant,16.7 months,1 / 6% churn,,,,,
,Inactive,14.3 months,1 / 7% churn,,,,,
CAC,Always Active,$3,In-app marketing - very efficient,,,,,
,Dormant,$7,Reactivation campaigns - medium cost,,,,,
,Inactive,$12,Heavy incentives - highest cost,,,,,
Growth,Ramp period,12 months,From 0 to 18492 users,,,,,
,Stabilization,Month 13+,Slower growth + churn offset,,,,,
Economics,LTV:CAC threshold,3:1,Industry acceptable minimum,,,,,
,Target LTV:CAC,5-10:1,Good SaaS business,,,,,
,Achieved blended,6.3:1,Strong unit economics,,,,,

,,,,,,,,,,
SUCCESS MILESTONES,,,,,,,,,,
Milestone,Target Date,Target Metric,Achievement Status,Notes,,,,,
Launch,Month 1,"2,530 users",On track,Foundation established,,,,,
Proof of Concept,Month 3,"7,137 users",On track,Early traction validated,,,,,
Scale Phase,Month 6,"13,058 users",On track,Halfway to Year 1 goal,,,,,
Year 1 Goal,Month 12,"18,492 users",On track,62% of 5% target = success,,,,,
Profitability,Month 24-36,"20,000+ users",Projected,Break-even and profitable,,,,,
